,pearson,spearman,mi,gain,perm,r_pearson,r_spearman,r_mi,r_gain,r_perm,rank_mean
kt_lag_20m,-0.24476882426678248,-0.29605164478749174,0.11404686918438678,26891182.127929688,-0.0012624550175503642,89.0,88.0,34.0,66.0,101.0,75.6
synop_wind_dir_deg,-0.11807553400492929,-0.14786427723753534,0.007770199629487662,1139435.4208984375,2.119358526749456e-06,67.0,71.0,88.0,86.0,67.0,75.8
synop_visibility_km,-0.08172992922370009,-0.10881890847269164,0.0014259172812791654,495186.79638671875,4.8078943125899144e-05,63.0,67.0,100.0,90.0,60.0,76.0
synop_rainfall_24h_mm,-0.032541863067343885,-0.09483960969934598,0.0032721805645659074,0.0,0.0,54.0,59.0,97.0,100.5,71.5,76.4
synop_temp_c,-0.20207718022067758,-0.2883199424254219,0.012184539896535451,1834814.4946289062,0.00027459463306974313,81.0,87.0,85.0,80.0,51.0,76.8
synop_wind_speed_kt,-0.1573036802246955,-0.22507495127995253,0.005827721033915045,1011244.3896484375,9.241363808569028e-06,71.0,75.0,90.0,88.0,66.0,78.0
sunshine_slot_min,,,1.3322676295501878e-15,0.0,0.0,,,102.5,100.5,71.5,91.5
sunshine_cum_min,,,1.3322676295501878e-15,0.0,0.0,,,102.5,100.5,71.5,91.5
is_day_cooper,,,1.3322676295501878e-15,0.0,0.0,,,102.5,100.5,71.5,91.5
is_day_noaa,,,1.3322676295501878e-15,0.0,0.0,,,102.5,100.5,71.5,91.5
